....................................................................................X..............OX...........X..O............................................................................................................., O
...................................................................................................OX...........X..O............................................................................................................., OO.O.XXOXXO.
....................................................................X.O.OX..........X..............OX.O.........X..OO.X............X............................................................................................., O
....................................................................X.O.............X..............OX.O.........X..OO.X............X............................................................................................., O
....................................................................X.O.OX..........X...O..........OX.O.........X..OO.X............X............................................................................................., O
....................................................................X.O.............X..............OX...........X..OO..............X............................................................................................., O
....................................................................X.O.............X..............OX.O.........X..OO..............X............................................................................................., O
....................................................................X.O.............X..............OX...........X..O............................................................................................................., O
..................................................................XO.............OO...............X.............X................................................................................................................, OO.OXXOOX
....................................................X.X...........XOO..........OOOOX..............X.............X................................................................................................................, O
....................................................X.X...........XOO.........XOOOOX..............X.............X................................................................................................................, O
..................................................................XO.............O................X.............X................................................................................................................, OO.OXXOOX
....................................................X.............XO.............OO...............X.............X................................................................................................................, OOOO
....................................................X.............XOO...........OOOX..............X.............X................................................................................................................, OOOO
....................................................X.X...........XOO.........XOOOOX...........O..X.............X................................................................................................................, O
....................................................X.............XO............OOO...............X.............X................................................................................................................, OOOO
..................................................................XO.............O..............................X................................................................................................................, OO.OXXOOX
....................................................X.............XO............OOOX..............X.............X................................................................................................................, OOOO
....................................................X.X...........XOO...........OOOX..............X.............X................................................................................................................, O
...................................O..............X.............OO.............XO.............X...............XOX.............X.................................................................................................., X
...................................O..............X...........X.OO............OXO.............X...............XOX.............X...............O.................................................................................., X
...................................O.............................O.............XO.............X................OX.............X.................................................................................................., XXXX
.................................................................O.............XO.............X................OX................................................................................................................, XOXXXXX.X
.................................................................O.............XO.............X................OX.............X.................................................................................................., XXXX.
...................................O..............X..............O.............XO.............X................OX.............X.................................................................................................., XXXX
...................................O..............X.............OO.............XO.............X................OX.............X.................................................................................................., XXXX
...................................O..............X.............OO.............XO.............X...............XOX.............X...............O.................................................................................., X
...................................O..............X...........X.OO.............XO.............X...............XOX.............X...............O.................................................................................., X
...............................................................................XO..............................OX................................................................................................................, XOXXOXXXXXX.X
...............................................................................XO.............X................OX................................................................................................................, XOXXXXX.X
....................................O............XXOX.O...........X..............XO.O.............X............OX..............O................................................................................................., X
..................................................................X.................O.............X............OX..............O................................................................................................., X
..................................................X...............X...............O.O.............X............OX..............O................................................................................................., X
..................................................................X...............................X............OX..............O................................................................................................., X
....................................O.............X.X.............X..............XO.O.............X............OX..............O................................................................................................., X
....................................O.............X...............X..............XO.O.............X............OX..............O................................................................................................., X
..................................................................X............................................OX..............O................................................................................................., X
....................................O............XX.X.O...........X..............XO.O.............X............OX..............O................................................................................................., X
..................................................X...............X.................O.............X............OX..............O................................................................................................., X
....................................O.............X.X.O...........X..............XO.O.............X............OX..............O................................................................................................., X
..................................................X...............X..............XO.O.............X............OX..............O................................................................................................., X
.................................................................................X............X.OOOX..........X.XO..............................................................................................................., OXOXOXX
....................................................................X............X.O..........X.OOOX.........XX.XO............O.................................................................................................., OX
..............................................................................................X.OOOX..........X.XO..............................................................................................................., OXXOXOXX
.................................................................................X.O..........X.OOOX..........X.XO..............................................................................................................., OXOXOXX
....................................................................X............X.O..........X.OOOX..........X.XO..............................................................................................................., OXOXOXX
..............................................................................................X.OOO...........X.X................................................................................................................, OXXOXOXX
....................................................................X............X.O..........X.OOOX..........X.XO............O.................................................................................................., OXOXOX
....................................................................X............X.O..........X.OOOX.........XX.XO...........OO.................................................................................................., OX
..............................................................................................X.OOOX..........X.X................................................................................................................, OXXOXOXX
......................................................................X............X...........XOOO.X..........OX................................................................................................................, X
......................................................................X..........................O..X..........OX................................................................................................................, X
......................................................................X............X.............OO.X..........OX................................................................................................................, X
..................................................................X...X...........OX...........XOOO.X.........OOX...........X...................................................................................................., X
..................................................................X...X...........OX...........XOOO.X.........OOX................................................................................................................, X
.................................................................................................O..X..........OX................................................................................................................, XOOXX.
......................................................................X..........................OO.X..........OX................................................................................................................, X
......................................................................X............X............OOO.X..........OX................................................................................................................, X
..................................................................X...X...........OX...........XOOO.X..........OX................................................................................................................, X
......................................................................X...........OX...........XOOO.X..........OX................................................................................................................, X
..................................................................X...X...........OX.O.........XOOO.X.........OOX...........X...................................................................................................., X
...................................................................XX............OX.............O.OX............XO.............OOOX............X................................................................................., X
...................................................................XX.............X.............O.OX............XO.............OOOX............X................................................................................., X
....................................................X.............OOX...........O.XXX............XOOO...........X................................................................................................................, X
....................................................X.............O.X...........O...X.............O.O...........X................................................................................................................, X
....................................................X.............O.X...........O.X.X............XOOO...........X................................................................................................................, X
..................................................................O.X...........O...............................X................................................................................................................, X
..................................................................O.X...........O...X...........................X................................................................................................................, X
....................................................X.............OOX...........O.XXXO...........XOOO...........X................................................................................................................, X
..................................................................O.X...........O...X.............O.............X................................................................................................................, X
....................................................X.............O.X...........O.X.X.............OOO...........X................................................................................................................, X
....................................................X.............OOX...........O.X.X............XOOO...........X................................................................................................................, X
....................................................X.............O.X...........O...X.............O.............X................................................................................................................, X
....................................................X.............O.X...........O.X.X.............O.O...........X................................................................................................................, X
.................................................................................O............X..O..............X................................................................................................................, X
..............................................................................O..O............X..O............X.X................................................................................................................, X
.................................................................XX...........O.XO............XOOO...........XXOX................................................................................................................, X
.................................................................X............O.XO............X.OO............X.X................................................................................................................, X
.................................................................X............O.XO............XOOO...........XX.X................................................................................................................, X
.................................................................................O............X..O............X.X................................................................................................................, X
.................................................................X............O.XO............XOOO...........XXOX................................................................................................................, X
..............................................................................O.XO............X.OO............X.X................................................................................................................, X
..............................................................................O.XO............X..O............X.X................................................................................................................, X
.................................................................X............O.XO............XOOO............X.X................................................................................................................, X
.................................................................XX...........O.XO............XOOO..........OXXOX................................................................................................................, X
...................................................................................X...............OX.X.........X.OOOX..........XXO.............O...........................O...................................................., O
...................................................................................X...............OX...........X.OOO...........XX..............O................................................................................, O
...................................................................................X...............OX...........X.OOOX..........XX..............O................................................................................, O
...................................................................................................OX...........X.OO............X................................................................................................, O.O.XXOXX
...................................................................................X...............OX...........X.OO............X................................................................................................, O
...................................................................................X...............OX...........X.OO............X...............O................................................................................, O
...................................................................................................OX...........X..O............X................................................................................................, O.O.XXOXXO.
...................................................................................X...............OX...........X.OO............XX..............O................................................................................, O
...................................................................................X...............OX...........X.OOOX..........XXO.............O................................................................................, O
...................................................................................X...............OX.X.........X.OOOX..........XXO.............O................................................................................, O
..............................................................................X.O............OX.X..........XOOO.X..........O.X..................................................................................................., X
..............................................................................................X.X...........OOO.X................................................................................................................, X
..............................................................................X..............OX.X..........XOOO.X..........O.X..................................................................................................., X
..............................................................................................X.X...........O.O.X................................................................................................................, X
.............................................................................................OX.X..........XOOO.X............X..................................................................................................., X
..............................................................................................X.............O.O.X................................................................................................................, X
..............................................................................X.O............OX.XX.........XOOO.X..........O.X..................................................................................................., X
.............................................................................................OX.X..........XOOO.X................................................................................................................, X
..............................................................................................X.X..........XOOO.X................................................................................................................, X
.............................................................................................OX.X..........XOOO.X..........O.X..................................................................................................., X
..............................................................................X.O..O.........OX.XX.........XOOO.X..........O.X..................................................................................................., X
..................................................................X.X...........X.O.............OXOO............XO.............X................................................................................................., X
..................................................................X................................O............XO..............................................................................................................., XOXX
..................................................................X.X...........X.O.............OXOO............XO.............X...............O................................................................................., X
..................................................................X.X...........X.O.............OXOO............XO.............XX..............O................................................................................., X
..................................................................X.............X.O.............OXOO............XO.............X................................................................................................., X
..................................................................X.............X...............O..O............XO..............................................................................................................., X
..................................................................X.............X..................O............XO..............................................................................................................., X
..................................................................X.............X...............OXOO............XO.............X................................................................................................., X
..................................................................X.............X...............O..O............XO.............X................................................................................................., X
..................................................................X.X...........X.O.............OXOO............XO.............XX.............OO................................................................................., X
..................................................................X.............X...............O.OO............XO.............X................................................................................................., X
.....................................................X............XO............XOO............O..X.............X................................................................................................................, O.X
....................................................OX............XO............XOO............O..X..........X..X..........O....................................................................................................., O.X
.....................................................X............XO............XOO............O..X.............X..........O....................................................................................................., O.X
..................................................................XO............XOO...............X.............X................................................................................................................, O.XXX
.....................................X..............OX............XO............XOO............O..X..........X..X..........O....................................................................................................., O.X
.....................................................X............XO............XOO............O..X..........X..X..........O....................................................................................................., O.X
.....................................X..............OX............XO............XOO............OO.X..........X..X..........O....................................................................................................., O.X
..................................................................XO............XOO............O..X.............X................................................................................................................, O.X
.................................................................................X.O..........X.OOOX.........XX.XO.........O..O.X................................................................................................, X
.................................................................................X.O..........X.OOOX.........XX.XO............O.X................................................................................................, X
..............................................................................................X.OOOX..........X.XO..............X................................................................................................, X
..............................................................................................X.OOOX..........X.XO............O.X................................................................................................, X
.................................................................................X.O..........X.OOOX..........X.XO............O.X................................................................................................, X
.................................................................................X............X.OOOX..........X.XO............O.X................................................................................................, X
...............................................................................XO..............O................X................................................................................................................, O
.................................................................X.............XO.............OO.X..............X................................................................................................................, O
.................................................O...............XXX...........XO.O...........OO.X..............X................................................................................................................, O
...............................................................................XO..............O.X..............X................................................................................................................, O
.................................................O.X.............XXXO..........XO.O...........OO.X..............X................................................................................................................, O
.................................................O...............XXXO..........XO.O...........OO.X..............X................................................................................................................, O
...............................................................................XO.............OO.X..............X................................................................................................................, O
.................................................O...............X.............XO.............OO.X..............X................................................................................................................, O
.................................................O...............X.X...........XO.............OO.X..............X................................................................................................................, O
.................................................O.X.............XXXO..........XO.O..........OOO.X..............X................................................................................................................, O
.................................................O...............X.X...........XO.O...........OO.X..............X................................................................................................................, O
...................................................................................O..........X..O............OXX...........XOX.................................................................................................., X
................................................................................XO.O..........X..O............OXX...........XOX.............X..............O....................................................................., X
................................................................................XO.O..........X..O............OXX...........XOX.................................................................................................., X
...................................................................................O..........X..O..............X.............X.................................................................................................., X
...................................................................................O..........X..O............O.X.............X.................................................................................................., X
...................................................................................O..........X..O..............X................................................................................................................, X
