......................................................X..............O..............O..............O............X.O..............X............X.................X................................................................,.X
.....................................................................O..............O..............O............X.O..............X............X.................X................................................................,.X
......................................................X..............O..............O..............O............X.O..............X............X.O............OX.X................................................................,.X
....................................................................................O..............O............X.O..............X............X.................X................................................................,.X
....................................................................................O..............O............X.O...........................X.................X................................................................,.X
......................................................X..............O..............O..............O............X.O..............X............X.OX...........OX.X.............................O..................................,.X
......................................................X..............O..............O..............O............X.O..............X............X.O.............X.X................................................................,.X
......................................................X..............O..............O..............O............X.O..............X............X.OX...........OX.X................................................................,.X
....................................................................................O...........................X.O.............................................X................................................................,.X
....................................................................................O...........................X.X.............O.............O.X............OXXX.O..............................................................,.X
....................................................................................O...........................X...............O.............................X.X................................................................,.X
....................................................................................O...........................X...............O.............O...............XXX................................................................,.X
....................................................................................O...........................X.X.............O.............O..............OXXX................................................................,.X
....................................................................................O...........................X...............O.............O...............X.X................................................................,.X
....................................................................................O...........................X.XX............OO............O.X............OXXX.O..............................................................,.X
....................................................................................O...........................XOXX............OO............O.X............OXXX.O..............................................................,.X
....................................................................................O...........................X.X.............OO............O.X............OXXX.O..............................................................,.X
....................................................................................O...........................X...............O...............................X................................................................,.X
....................................................................................O...........................X...............O.............O..............OXXX................................................................,.X
....................................................................................O...........................X.X.............O.............O..............OXXX.O..............................................................,.X
................................................................................................................X.............OO.X..........X.X.O............X................O..................................................,.X
................................................................................................................X..............O..............X.O............X................O..................................................,.X
................................................................................................................X..............O............X.X.O............X................O..................................................,.X
................................................................................................................X...............................O............X................O..................................................,.X
................................................................................................................X.............................X.O............X................O..................................................,.X
................................................................................................................X...............................O............X...................................................................,.XOO
................................................................................................................X.............OO............X.X.O............X................O..................................................,.X
................................................................................................................X.............OO.X..........XOX.O............X.............O.XO............X..............O......................,.X
................................................................................................................X.............OO.X..........X.X.O............X.............O..O..................................................,.X
................................................................................................................X.............OO.X..........X.X.O............X.............O..O............X.....................................,.X
................................................................................................................X.............OO.X..........X.X.O............X.............O..O............X..............O......................,.X
................................................................................................................X.............OO.X..........X.X.O............X.............O.XO............X..............O......................,.X
................................................................................................................X.............OXX...........O.O.X...........X...O...........O....................................................,.X
................................................................................................................X...........................O.O.X...........X....................................................................,.X
..............................................................................................................X.X.............OXX...........O.O.X...........X...O...........O....................................................,.X
..............................................................................................................X.X.............OXX..........XOOO.X...........X...O...........O....................................................,.X
..............................................................................................................XOX.............OXX..........XOOO.X...........X...O...........O....................................................,.X
..............................................................................................................X.X.............OXX...........OOO.X...........X...O...........O....................................................,.X
................................................................................................................X...........................O.O.X...........X...............O....................................................,.X
................................................................................................................X...............X...........O.O.X...........X...............O....................................................,.X
................................................................................................................X..............XX...........O.O.X...........X...O...........O....................................................,.X
................................................................................................................X...............X...........O.O.X...........X...O...........O....................................................,.X
................................................................................................................X...........................O.O.............X....................................................................,.X
.....................................................................O.............O............XOO.............XXO..........XO.O.X...........X...............X..................................................................,.O
.................................................................................................OO.............X.O...........................X...............X..................................................................,.O
...................................................................................O............XOO.............XXO...........O.O.X...........X...............X..................................................................,.O
...................................................................................O............XOO.............XXO..........XO.O.X...........X...............X..................................................................,.O
...................................................................................O............XOO.............X.O.............O.X...........X...............X..................................................................,.O
................................................................................................XOO.............X.O.............O.X...........X...............X..................................................................,.O
...................................................................................O............XOO.............XXO.............O.X...........X...............X..................................................................,.O
..................................................................................................O.............X.O...........................X...............X..................................................................,.O
................................................................................................XOO.............X.O...........................X...............X..................................................................,.O
................................................................................................XOO.............X.O.............O.............X...............X..................................................................,.O
..................................................................................................O.............X.O...........................................X..................................................................,.OXX
....................................................................O.............X...............O...........O.X.O...........X.O.............XX.............OX.X................................................................,.X
....................................................................O.............................O...........O.X.O...........X.O.............XX.............OX.X................................................................,.X
..................................................................................................O.............X.O.............O.............X..............OX.X................................................................,.X
..................................................................................................O.............X.O.............O.............................X.X................................................................,.X
..................................................................................................O.............X.O...........................................X.X................................................................,.XX
..................................................................................................O.............X.O.............O.............X...............X.X................................................................,.X
..................................................................................................O...........O.X.O...........X.O.............X..............OX.X................................................................,.X
..................................................................................................O.............X.O...........X.O.............X..............OX.X................................................................,.X
....................................................................O.............X...............O...........O.X.O...........X.O.............XX.............OX.X.............O..................................................,.X
..................................................................................................O...........O.X.O...........X.O.............XX.............OX.X................................................................,.X
.................................................................................................OO.............X.O...........................X...............X.XO...............................................................,.X
.................................................................................................OO.............X.O.............O.............X.X.............X.XO............O...............X..................................,.X
..................................................................................................O.............X.O...........................................X.XO...............................................................,.X
..................................................................................................O.............X.O...........................X...............X.XO...............................................................,.X
.................................................................................................OO.............X.O...........................X...............X.XO............................X..................................,.X
.................................................................................................OO.............X.O...........................X...............X.XO............O...............X..................................,.X
.................................................................................................OO.............X.O.............O.............XOXX............X.XO............O...............X..................................,.X
.................................................................................................OO.............X.O...........................X.X.............X.XO............O...............X..................................,.X
.................................................................................................OO.............X.O.............O.............X.XX............X.XO............O...............X..................................,.X
................................................................................................................X.O...........O.X.O...........X...O...........X..................................................................,.X
..................................................................................................X.............X.O...........OXX.O...........X.O.O...........X..................................................................,.X
................................................................................................................X.O...........O.X.O...........X...............X..................................................................,.X
.................................................................................................XX.............X.O...........OXX.O...........X.O.O..........OX..................................................................,.X
..................................................................................O..............XX.............X.O...........OXX.O...........X.O.O..........OX..................................................................,.X
..................................................................................................X.............X.O...........O.X.O...........X.O.O...........X..................................................................,.X
................................................................................................................X.O...............O...........................X..................................................................,.X
..................................................................................................X.............X.O...........OXX.O...........X.O.O..........OX..................................................................,.X
................................................................................................................X.O...........O...O...........X...............X..................................................................,.X
..................................................................................................X.............X.O...........O.X.O...........X...O...........X..................................................................,.X
................................................................................................................X.O...............O...........X...............X..................................................................,.X
................................................................................................................X.O...........................X...O...........X..................................................................,.X
..............................................................................................O...............X.X.O...........X...............X...O...........X.............O.O..................................................,.X
..............................................................................................O..............XXOX.O...........XX..............X...O...........X.............O.O..................................................,.X
................................................................................................................X.O...........X...............X...O...........X.............O....................................................,.X
..............................................................................................O..............XX.X.O...........X...............X...O...........X.............O.O..................................................,.X
................................................................................................................X.O...............................O...........X..................................................................,.X
..............................................................................................O..O...........XXOX.O...........XX..............X...O...........X.............O.O..................................................,.X
..............................................................................................O..............XXOX.O...........X...............X...O...........X.............O.O..................................................,.X
