black,white,b_time,w_time,winner,rounds
Robert,Eric,76.91406489999999,3.61382639999999,Eric,49
Eric,Robert,3.7560074999999813,17.7054713,Eric,24
Robert,Eric,21.21846579999999,3.093420299999991,Robert,24
Eric,Robert,4.491029200000014,35.0521244,Eric,38
Robert,Eric,90.73489690000011,11.750373200000013,draw,59
Eric,Robert,4.294267999999931,26.39246289999994,Robert,19
Robert,Eric,74.67733770000001,9.079360599999973,Robert,44
Eric,Robert,5.117473499999903,32.57085679999983,Eric,26
Robert,Eric,103.85134019999998,3.0131545999999503,Eric,41
Eric,Robert,19.710483899999986,27.92767230000061,draw,59
Robert,Eric,102.14542400000005,10.566589599999588,Robert,58
Eric,Robert,11.611530999999786,46.58815369999991,Robert,47
Robert,Eric,51.90337049999994,9.512816800000337,Robert,44
Eric,Robert,5.6192790999999715,32.211611900000094,Robert,25
Robert,Eric,44.34649789999992,3.715343799999914,Robert,26
Eric,Robert,12.638383499999918,34.883481699999834,Robert,43
Robert,Eric,25.99851070000011,6.459636900000078,Eric,27
Eric,Robert,5.6046931000001905,30.06748129999994,Robert,25
Robert,Eric,37.94835000000012,8.51815680000027,Robert,32
Eric,Jane,6.377507600000001,6.487904700000002,Jane,23
Jane,Eric,5.191477300000001,4.182982000000008,Jane,18
Eric,Jane,2.660359899999996,7.2109381999999975,Jane,17
Jane,Eric,5.551901199999996,6.615271100000001,Jane,28
Eric,Jane,5.845670600000005,3.456794400000014,Eric,22
Jane,Eric,18.594048400000005,7.035232199999996,Jane,34
Eric,Jane,2.5773278000000204,7.582655400000007,Jane,17
Jane,Eric,4.494239400000012,3.257909799999979,Eric,17
Eric,Jane,2.7666284999999817,7.584499600000015,Jane,21
Jane,Eric,6.210972099999992,10.151759400000046,Jane,36
Eric,Jane,3.1588749999999948,7.130961600000035,Jane,17
Jane,Eric,10.724831799999947,4.422730199999961,Jane,22
Eric,Jane,3.1783231,14.429567899999967,Jane,25
Jane,Eric,4.767558199999968,3.213038499999982,Jane,16
Eric,Jane,5.837809300000032,4.242941500000029,Eric,22
Jane,Eric,9.860890799999964,5.305341099999993,Jane,24
Eric,Jane,4.160811600000017,23.051381700000007,Eric,38
Jane,Eric,4.535358500000029,3.1247416000000214,Jane,16
Eric,Jane,3.737416900000028,11.303492899999952,Jane,23
Jane,Eric,30.21501340000006,4.7226873999999555,Jane,50
Eric,Anna,3.3781347000000017,87.5167458,Anna,33
Anna,Eric,36.479187499999995,2.727451899999977,Anna,16
Eric,Anna,3.4953943999999524,45.75399939999997,Anna,19
Anna,Eric,46.263615200000004,3.843513499999972,Anna,18
Eric,Anna,2.6679733999998803,143.31724500000007,Anna,27
Anna,Eric,35.44817180000001,3.9235349999999016,Anna,18
Eric,Anna,2.7959908999999357,53.191055800000015,Anna,19
Anna,Eric,42.98676729999988,3.809740199999908,Anna,18
Eric,Anna,4.028212400000143,38.30984990000013,Anna,19
Anna,Eric,111.64790319999986,3.4531925999999658,Anna,28
Eric,Anna,2.7384910000002947,28.123323200000073,Anna,17
Anna,Eric,27.34224929999982,3.132055700000137,Anna,18
Eric,Anna,2.5146894999996903,28.287383900000123,Anna,17
Anna,Eric,38.0595194,2.9300712000001568,Anna,18
Eric,Anna,2.0248565999999073,39.11235740000018,Anna,19
Anna,Eric,26.77144749999968,3.1858387999999422,Anna,18
Eric,Anna,1.9684945999999854,39.05801929999973,Anna,19
Anna,Eric,36.32754439999974,2.8643390999999383,Anna,18
Eric,Anna,3.9784221999999545,54.94191300000011,Eric,28
Anna,Eric,27.530175399999962,2.0361755999999787,Anna,16
Robert,Jane,18.228732800000003,3.7396528000000027,Jane,17
Jane,Robert,6.835204199999975,47.516205099999986,Jane,32
Robert,Jane,51.65313070000002,9.812806399999957,Robert,36
Jane,Robert,31.987596199999842,65.53258819999999,draw,59
Robert,Jane,33.24321810000009,7.0037193,Robert,26
Jane,Robert,12.12582219999996,45.41249810000005,Robert,37
Robert,Jane,33.398660199999995,6.742782000000034,Robert,26
Jane,Robert,3.1241181999999412,28.118771200000026,Jane,20
Robert,Jane,46.53261409999999,5.21504189999996,Jane,27
Jane,Robert,9.96174219999989,28.931439399999874,Jane,32
Robert,Jane,80.59673399999997,9.283258599999726,Jane,45
Jane,Robert,9.565504599999485,67.00649209999983,Jane,42
Robert,Jane,75.55407470000023,8.574137300000189,Robert,42
Jane,Robert,4.193848500000172,45.31401579999999,Jane,28
Robert,Jane,13.21469419999994,2.668528199999855,Jane,15
Jane,Robert,30.012500699999464,98.99661809999986,draw,59
Robert,Jane,35.48150910000015,6.9164790000002085,Jane,35
Jane,Robert,6.70954590000008,30.723858999999948,Jane,26
Robert,Jane,24.531518600000027,4.492387500000177,Robert,20
Jane,Robert,8.876391999999896,31.22733779999976,Jane,24
Robert,Anna,72.13631769999995,240.49062679999994,draw,59
Anna,Robert,76.00166520000005,22.886335699999904,Anna,22
Robert,Anna,93.92000590000004,270.8057613000001,draw,59
Anna,Robert,72.37666009999998,32.5310146999999,Anna,20
Robert,Anna,83.33769270000016,521.5432607999994,draw,59
Anna,Robert,72.52665220000017,24.360305200000084,Anna,24
Robert,Anna,121.52263130000051,120.02903980000019,Anna,53
Anna,Robert,41.182571699999926,26.75726580000014,Anna,18
Robert,Anna,19.48856520000004,95.85898180000004,Anna,29
Anna,Robert,81.28819429999999,21.62705290000008,Anna,20
Robert,Anna,40.55760910000072,25.48836560000018,Robert,24
Anna,Robert,71.81073900000047,21.178373799999008,Anna,24
Robert,Anna,39.34700199999861,24.23520820000067,Robert,24
Anna,Robert,69.13656040000023,20.024764199999936,Anna,22
Robert,Anna,19.751561000000038,44.72856920000004,Anna,19
Anna,Robert,130.95219530000077,67.78089270000146,Anna,40
Robert,Anna,50.31249719999869,162.0458053999996,Anna,33
Anna,Robert,57.04377489999979,25.182083499999862,Anna,22
Robert,Anna,56.512487900000906,25.019218999999794,Robert,28
Anna,Robert,38.740047499999946,15.438250499999867,Anna,16
Jane,Anna,9.79973889999998,116.07578540000002,Anna,25
Anna,Jane,60.359460699999985,8.865176099999971,Anna,22
Jane,Anna,3.5719751000000883,31.584618099999943,Anna,17
Anna,Jane,84.53514059999992,4.501025699999957,Anna,22
Jane,Anna,13.568326000000297,287.8393007000001,Jane,30
Anna,Jane,75.82122959999992,3.988587500000108,Anna,20
Jane,Anna,4.3291762999997445,58.895686400000045,Jane,20
Anna,Jane,37.41931099999988,4.983963300000141,Anna,18
Jane,Anna,6.822711199999844,57.1633164000001,Anna,19
Anna,Jane,209.1653054999996,6.2054540999998835,Anna,34
Jane,Anna,5.073098000000073,42.71106850000001,Anna,21
Anna,Jane,50.93506460000026,6.374050600000373,Anna,20
Jane,Anna,6.594912700000123,61.70615269999985,Anna,25
Anna,Jane,112.82194230000073,10.462683200000129,Anna,28
Jane,Anna,13.887950399999454,213.02513840000074,Anna,39
Anna,Jane,123.45715309999923,6.4505868000003375,Anna,32
Jane,Anna,7.482623899999453,91.92964550000079,Anna,29
Anna,Jane,85.21190000000001,8.97657890000005,Anna,24
Jane,Anna,15.20596599999908,127.42747050000025,Jane,32
Anna,Jane,25.155876799999078,7.792798900000889,Anna,16
